"ZONING DISTRICT LAND USE TABLE

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ag,Residential,,,,,SP,Mixed Use,,,,Office,,,,,Commercial,,,,,Downtown (DTC),,,,Shopping Center,,,Industrial,,
,AG,RS80,R80,RM2,RM40,M,*,MUN,MUL,MUG,MUI,O,O,O,OR 20,ORI,C N,CL,CS,,,North,South,West,Central,S,S,S,I,,
,and,thru,thru,thru,thru,H,S,and,and,and,and,N,L,G,thru,and,and,and,and,C,C,,,,,C,C,C,W,I,I
,AR2a,RS3.75-A,R6-A,RM20-A,RM100-A,P,P,MUN-A,MUL-A,MUG-A,MUI-A,,,,OR 40-A,ORI-A,CN-A,CL-A,CS-A,A,F,,,,,N,C,R,D,R,G
Residential Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-family,P,P,P,P,P,,,P,P,P,P,P,,PC,P,P,PC,PC,PC,PC,PC,P,P,P,P,PC,PC,,,,
Two-family,PC,,PC,P,P,,,P,P,P,P,,,PC,P,P,PC,PC,PC,PC,PC,P,P,P,P,PC,PC,,,,
Multi-Family,,,ne,P,P,,,P,P,P,P,,,PC,P,P,PC,PC,PC,PC,P,P,P,P,P,PC,PC,P,PC,PC,SE
Mobile home dwelling,P,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,
Accessory apartment,A,A,A,,,,,,,,,,,,,,,,,,,P,P,P,P,,,,,,
"Accessory dwelling, detached",,,PC,PC,PC,,,,,,,,,,PC,PC,,,,,,,,,,,,,,,
Boarding house,,,,P,P,,,P,P,P,P,,,,P,P,,,,,P,P,P,P,P,,,,,,
Consignment sale,PC,PC,PC,PC,PC,PC,,P,P,P,P,,,,P,P,,,,,P,P,P,P,P,,,P,,,
Domesticated hens,P,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garage sale,A,A,A,A,A,A,,A,A,A,A,,,,A,A,,,,,A,A,A,A,A,,,A,,,
Historic bed and breakfast homestay,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,P,P,P,O,O,O,O,O,O
Historic home events,SE,SE,SE,SE,SE,SE,,P,P,P,P,SE,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,
Home occupation,A,A,A,A,A,A,,A,A,A,A,A,,,A,A,,,,,A,P,P,P,P,,,A,,,
Rural bed and breakfast homestay,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security residence,,,,,,,,,,,,PC,PC,PC,,,PC,PC,PC,PC,PC,,,,,PC,PC,PC,PC,PC,PC
Short term rental property (STRP),A,A,A,A,A,A,,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A
Institutional Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correctional facility,SE,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,P
Cultural center,SE,SE,SE,SE,SE,SE,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,SE,SE
Day care center (up to 75),SE,SE,SE,SE,SE,SE,,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,P,P,P,P,PC,PC,PC,PC,PC,
Day care center (over 75),SE,SE,SE,SE,SE,SE,,,PC,PC,PC,,PC,PC,PC,PC,,PC,PC,PC,PC,P,P,P,P,PC,PC,PC,PC,PC,
Day care home,SE,SE,SE,SE,SE,SE,,PC,PC,PC,PC,PC,,,PC,PC,,,,,PC,P,P,P,P,,,,,,
Day care--parent’s day out,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
School day care,A,A,A,A,A,A,,A,A,A,A,,A,A,P,P,A,A,A,,P,P,P,P,P,,,,,,
Monastery or convent,A,,,P,P,,,P,P,P,P,,A,A,P,P,A,A,A,,P,P,P,P,P,,,,,,
Orphanage,P,,,P,P,,,P,P,P,P,,,,P,P,,,,,,P,P,P,P,,,,,,
Religious institution,P,SE,SE,SE,SE,SE,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,P,P,P,P
Educational Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business school,,,,,,,,,P,P,P,,P,P,P,P,,P,P,P,P,P,P,P,P,,,P,P,P,
College or university,,,,,,,,,,P,P,,,P,P,P,,,,,P,P,P,P,P,,,,,,
Community education,PC,PC,PC,PC,PC,PC,,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,
Dormitory,,,,P,P,,,P,P,P,P,,,,P,P,,,,,P,P,P,P,P,,,,,,
Fraternity/sorority house,,,,,P,,,,,P,P,,,,P,P,,,,,P,P,P,P,P,,,,,,
Personal instruction,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Vocational school,,,,,,,,,PC,P,P,,P,P,P,P,,P,P,PC,P,P,P,P,P,,,PC,P,P,
Office Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative financial services,,,,,,,,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,,,,,PC,PC,PC,PC,,
Financial institution,,,,,,,,PC,P,P,P,PC,P,P,P,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,,
General office,,,,,,,,PC,P,P,P,PC,P,P,P,P,PC,P,P,P,P,P,P,P,P,PC,P,P,P,P,PC
Leasing/sales office,A,A,A,A,A,A,,P,P,P,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Medical Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,
Assisted-care living,P,,,P,P,,,P,P,P,P,,P,P,P,P,,P,P,,P,P,P,P,P,,,,,,
Hospice,P,,,P,P,,,P,P,P,P,P,P,P,P,P,P,P,P,,P,P,P,P,P,,,,,,
Hospital,,,,,,,,,,P,P,,,P,,P,,,P,,P,P,P,P,P,,,,,,
Medical appliance sales,,,,,,,,P,P,P,P,,A,A,A,P,,P,P,,P,P,P,P,P,P,P,P,,,
Medical office,,,,,,,,PC,P,P,P,PC,P,P,P,P,PC,P,P,,P,P,P,P,P,P,P,P,,,
Medical or scientific lab,,,,,,,,,P,P,P,,P,P,P,P,,P,P,,P,P,P,P,P,,,,P,P,P
Nonresidential drug treatment facility,,,,,,,,,,,,,,,,,,P,P,,P,P,P,P,P,,,,P,,
Nursing home,P,,,P,P,,,P,P,P,P,,P,P,P,P,,P,P,,P,P,P,P,P,,,,,,
Outpatient clinic,,,,,,,,,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,PC,PC,
Rehabilitation services,P,,,,,,,PC,P,P,P,,P,P,P,P,,P,P,,P,P,P,P,P,P,P,P,,,
Residence for handicapped (8 or more),,,,P,P,,,P,P,P,P,,,,P,P,,,,,P,P,P,P,P,,,,,,
Veterinarian,,,,,,,,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,P,P,,P,P,P,P,P,PC,PC,PC,,,
Commercial Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal boarding facility,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,,,,PC,PC,
ATM,,,,,,,,PC,PC,P,P,PC,P,P,P,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Auction house,,,,,,,,PC,P,P,P,,A,A,A,PC,PC,P,P,P,P,P,P,P,P,PC,PC,P,PC,PC,PC
Automobile convenience,,,,,,,,,PC,PC,PC,,,,,,,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC
Automobile parking,,,,,,,,,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Automobile repair,,,,,,,,,,,,,,,,,,,PC,,,,P,,,,,,P,P,P
"Automobile sales, new",,,,,,,,,,,,,,,,,,P,P,P,,,P,P,P,,,P,P,P,P
"Automobile sales, used",,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,P,P,P
Automobile service,,,,,,,,,,P,P,,,,,,,P,P,P,P,P,P,P,P,,P,P,P,P,P
Bar or nightclub,,,,,,,,PC,P,P,P,,,,,P,PC,P,P,P,P,P,P,P,P,PC,P,P,,,
Bed and breakfast inn,,,,,,,,PC,P,P,P,PC,,,,P,PC,P,P,P,P,P,P,P,P,PC,P,P,,,
Beer and cigarette market,,,,,,,,PC,P,P,P,,A,A,A,PC,PC,P,P,P,P,P,P,P,P,PC,PC,P,PC,PC,PC
Boat Storage,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
Business service,,,,,,,,P,P,P,P,,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Carpet cleaning,,,,,,,,,,,,,,,,,,,P,,P,P,P,P,,,,,P,P,P
Car wash,,,,,,,,,PC,PC,PC,,,,,,,PC,PC,PC,PC, ,PC, , ,,PC,PC,P,P,P
Community Gardening (commercial),P,SE,SE,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,P,P,P
Community Gardening (non-commercial),P,P,P ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,P,P,P
Custom assembly,,,,,,,,PC,PC,PC,PC,,,,,,PC,PC,P,PC,P,P,P,P,P,PC,PC,PC,P,P,P
"Donation center, drop-off",,,,,,,,,PC,PC,PC,,,,,,,PC,PC,PC,PC,PC,PC,PC,PC,,PC,PC,PC,PC,PC
Flea market,,,,,,,,PC,P,P,P,,A,A,A,PC,PC,P,P,P,P,P,P,P,P,PC,PC,P,PC,PC,PC
Funeral home,,,,,,,,,P,P,P,,,P,P,P,,P,P,,,P,P,P,P,,,,,,
Furniture store,,,,,,,,,P,P,P,,,,,,,P,P,,P,P,P,P,P,P,P,P,,,
